@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 {0,1,2,3}
@attribute outputs-3 {0,1,2,3}
@attribute outputs-4 {0,1,2,3}

@data
1,'2018/02/24 11:54:10:143',1,54.490147,-26.610672,-3.258011,?,?,?,?
2,'2018/02/24 11:54:10:190',1,54.506897,-26.608063,-3.26445,?,?,?,?
3,'2018/02/24 11:54:10:240',1,54.792633,-26.83547,-2.916367,?,?,?,?
4,'2018/02/24 11:54:10:284',1,55.135918,-27.267265,-2.326332,?,?,?,?
5,'2018/02/24 11:54:10:334',1,55.321075,-27.846409,-1.430748,?,?,?,?
6,'2018/02/24 11:54:10:378',1,55.548004,-28.014036,0.132462,?,?,?,?
7,'2018/02/24 11:54:10:425',1,55.650997,-27.730879,0.954391,?,?,?,?
8,'2018/02/24 11:54:10:472',1,55.796471,-27.853439,2.586487,?,?,?,?
9,'2018/02/24 11:54:10:517',1,55.893398,-28.034,3.482803,?,?,?,?
10,'2018/02/24 11:54:10:565',1,55.964226,-28.282419,4.172729,?,?,?,?
11,'2018/02/24 11:54:10:612',1,56.068882,-28.927252,5.095886,?,?,?,?
12,'2018/02/24 11:54:10:659',1,56.22361,-29.544292,5.766342,?,?,?,?
13,'2018/02/24 11:54:10:709',1,56.415398,-30.447758,6.623535,?,?,?,?
14,'2018/02/24 11:54:10:758',1,56.657131,-31.127129,7.242813,?,?,?,?
15,'2018/02/24 11:54:10:804',1,56.9534,-31.727556,7.854874,?,?,?,?
16,'2018/02/24 11:54:10:849',1,57.243389,-32.111187,8.363907,?,?,?,?
17,'2018/02/24 11:54:10:898',1,57.495186,-32.328255,8.928955,?,?,?,?
18,'2018/02/24 11:54:10:946',1,57.484776,-32.210777,10.423737,?,?,?,?
19,'2018/02/24 11:54:10:994',1,57.113838,-31.969732,12.022034,?,?,?,?
20,'2018/02/24 11:54:11:039',1,55.950684,-31.613701,13.375008,?,?,?,?
21,'2018/02/24 11:54:11:083',1,55.129742,-31.530626,13.271103,?,?,?,?
22,'2018/02/24 11:54:11:133',1,54.035511,-31.415461,12.624229,?,?,?,?
23,'2018/02/24 11:54:11:180',1,53.0774,-30.880123,11.906212,?,?,?,?
24,'2018/02/24 11:54:11:230',1,53.419289,-30.103115,11.845016,?,?,?,?
25,'2018/02/24 11:54:11:276',1,51.797638,-31.482388,15.101929,?,?,?,?
26,'2018/02/24 11:54:11:322',1,49.106712,-32.632702,17.993935,?,?,?,?
27,'2018/02/24 11:54:11:374',1,44.336044,-33.116592,21.417412,?,?,?,?
28,'2018/02/24 11:54:11:418',1,39.480255,-34.174965,25.563957,?,?,?,?
29,'2018/02/24 11:54:11:471',1,37.355679,-33.904202,25.972618,?,?,?,?
30,'2018/02/24 11:54:11:516',1,0.492882,-51.341873,-8.536591,?,?,?,?
31,'2018/02/24 11:54:11:563',1,-17.505167,-42.523476,-17.764633,?,?,?,?
32,'2018/02/24 11:54:11:609',1,-8.231668,-14.075424,-13.762894,?,?,?,?
33,'2018/02/24 11:54:11:657',1,-7.709345,-8.871292,-9.821838,?,?,?,?
34,'2018/02/24 11:54:11:704',1,0.678336,5.263781,15.994148,?,?,?,?
35,'2018/02/24 11:54:35:697',3,61.52626,-25.351521,10.022079,?,?,?,?
36,'2018/02/24 11:54:35:734',3,61.899536,-25.5051,10.046265,?,?,?,?
37,'2018/02/24 11:54:35:796',3,62.099987,-25.751175,10.150299,?,?,?,?
38,'2018/02/24 11:54:35:826',3,62.335289,-26.398153,10.513809,?,?,?,?
39,'2018/02/24 11:54:35:852',3,62.392624,-27.025227,10.650375,?,?,?,?
40,'2018/02/24 11:54:35:879',3,62.500607,-27.438213,10.821335,?,?,?,?
41,'2018/02/24 11:54:35:903',3,62.921059,-27.731503,12.33046,?,?,?,?
42,'2018/02/24 11:54:35:930',3,62.911469,-27.798885,12.45842,?,?,?,?
43,'2018/02/24 11:54:35:964',3,62.800991,-27.815983,12.521927,?,?,?,?
44,'2018/02/24 11:54:35:995',3,62.776077,-27.713549,12.586288,?,?,?,?
45,'2018/02/24 11:54:36:032',3,62.685581,-27.578527,12.521835,?,?,?,?
46,'2018/02/24 11:54:36:064',3,62.606857,-27.448343,12.325882,?,?,?,?
47,'2018/02/24 11:54:36:094',3,62.567188,-27.350315,12.227478,?,?,?,?
48,'2018/02/24 11:54:36:133',3,62.56395,-27.271374,12.045639,?,?,?,?
49,'2018/02/24 11:54:36:167',3,62.563629,-27.243496,11.76973,?,?,?,?
50,'2018/02/24 11:54:36:195',3,62.575516,-27.383184,11.416733,?,?,?,?
51,'2018/02/24 11:54:36:232',3,62.483379,-28.021906,10.681671,?,?,?,?
52,'2018/02/24 11:54:36:262',3,62.366631,-29.664349,8.730499,?,?,?,?
53,'2018/02/24 11:54:36:296',3,62.003387,-32.276897,4.736832,?,?,?,?
54,'2018/02/24 11:54:36:329',3,60.792824,-34.828945,-0.204346,?,?,?,?
55,'2018/02/24 11:54:36:365',3,59.163521,-36.458672,-6.008942,?,?,?,?
56,'2018/02/24 11:54:36:395',3,56.780602,-37.615604,-11.975861,?,?,?,?
57,'2018/02/24 11:54:36:441',3,53.892616,-37.921387,-18.098114,?,?,?,?
58,'2018/02/24 11:54:36:465',3,50.920471,-37.332451,-24.036224,?,?,?,?
59,'2018/02/24 11:54:36:498',3,48.621662,-36.286991,-30.630836,?,?,?,?
60,'2018/02/24 11:54:36:533',3,45.698719,-35.672752,-36.539986,?,?,?,?
61,'2018/02/24 11:54:36:564',3,42.306866,-35.255226,-41.536049,?,?,?,?
62,'2018/02/24 11:54:36:598',3,37.94426,-35.502449,-44.810661,?,?,?,?
63,'2018/02/24 11:54:36:650',3,32.604103,-36.38501,-46.090607,?,?,?,?
64,'2018/02/24 11:54:36:683',3,27.192844,-36.98708,-47.836288,?,?,?,?
65,'2018/02/24 11:54:36:708',3,22.138334,-36.69199,-50.247627,?,?,?,?
66,'2018/02/24 11:54:36:730',3,18.120962,-36.59557,-51.798393,?,?,?,?
67,'2018/02/24 11:54:36:760',3,13.326452,-37.11021,-52.241028,?,?,?,?
68,'2018/02/24 11:54:36:801',3,7.832335,-36.067719,-56.405922,?,?,?,?
69,'2018/02/24 11:54:36:839',3,1.863172,-34.987312,-57.977127,?,?,?,?
70,'2018/02/24 11:54:36:863',3,-1.615278,-35.055317,-55.311043,?,?,?,?
71,'2018/02/24 11:54:36:897',3,-4.783042,-34.850517,-54.25605,?,?,?,?
72,'2018/02/24 11:54:36:929',3,-9.195298,-35.336357,-51.433998,?,?,?,?
73,'2018/02/24 11:54:36:960',3,-11.684745,-36.176189,-48.812988,?,?,?,?
74,'2018/02/24 11:54:37:001',3,-13.720298,-37.429089,-45.996056,?,?,?,?
75,'2018/02/24 11:54:37:034',3,-14.679987,-38.699322,-43.488152,?,?,?,?
76,'2018/02/24 11:54:37:067',3,-16.431446,-39.540363,-41.638084,?,?,?,?
77,'2018/02/24 11:54:37:099',3,-17.712334,-39.939278,-40.793839,?,?,?,?
78,'2018/02/24 11:54:37:132',3,-18.311474,-40.409874,-39.682396,?,?,?,?
79,'2018/02/24 11:54:37:162',3,-18.833736,-40.684059,-39.02124,?,?,?,?
80,'2018/02/24 11:54:37:197',3,-22.963577,-41.192017,-38.730125,?,?,?,?
81,'2018/02/24 11:54:37:231',3,-26.262766,-41.32526,-36.019264,?,?,?,?
82,'2018/02/24 11:54:37:264',3,-28.935555,-41.462959,-34.488411,?,?,?,?
83,'2018/02/24 11:54:37:299',3,-31.099649,-41.501919,-32.680351,?,?,?,?
84,'2018/02/24 11:54:37:329',3,-32.696064,-41.539017,-30.716072,?,?,?,?
85,'2018/02/24 11:54:37:365',3,-33.451675,-41.20496,-26.481354,?,?,?,?
86,'2018/02/24 11:54:37:417',3,-33.841976,-40.999771,-24.24308,?,?,?,?
87,'2018/02/24 11:54:37:457',3,-35.352627,-40.87532,-21.913284,?,?,?,?
88,'2018/02/24 11:54:37:536',3,-34.889629,-40.813229,-20.414093,?,?,?,?
89,'2018/02/24 11:54:37:568',3,-33.860615,-40.727936,-18.992676,?,?,?,?
90,'2018/02/24 11:54:37:608',3,-31.081066,-39.896507,-16.26651,?,?,?,?
91,'2018/02/24 11:54:37:644',3,-30.495148,-39.72813,-14.493454,?,?,?,?
92,'2018/02/24 11:54:37:678',3,-30.184988,-39.612099,-13.567474,?,?,?,?
93,'2018/02/24 11:54:37:742',3,-30.057407,-39.497101,-12.86525,?,?,?,?
94,'2018/02/24 11:54:37:774',3,-29.998135,-39.386166,-12.366913,?,?,?,?
95,'2018/02/24 11:54:37:808',3,-30.023794,-39.253677,-12.018311,?,?,?,?
96,'2018/02/24 11:54:37:843',3,-31.981611,-36.507603,-10.28215,?,?,?,?
97,'2018/02/24 11:54:38:048',3,-31.990252,-36.40871,-10.296234,?,?,?,?
98,'2018/02/24 11:54:38:080',3,-31.809872,-36.663559,-10.720093,?,?,?,?
99,'2018/02/24 11:54:38:102',3,-33.554634,-36.73769,-11.882751,?,?,?,?
100,'2018/02/24 11:54:38:135',3,-32.985901,-37.434925,-16.152924,?,?,?,?
101,'2018/02/24 11:54:38:169',3,-32.492306,-37.822861,-18.558472,?,?,?,?
102,'2018/02/24 11:54:38:209',3,-32.006523,-37.99361,-20.178238,?,?,?,?
103,'2018/02/24 11:54:38:248',3,-31.422756,-38.042286,-21.623398,?,?,?,?
104,'2018/02/24 11:54:38:276',3,-30.840696,-38.005127,-22.901047,?,?,?,?
105,'2018/02/24 11:54:38:307',3,-28.563192,-38.145233,-26.041359,?,?,?,?
106,'2018/02/24 11:54:38:333',3,-24.242403,-38.150028,-28.16394,?,?,?,?
107,'2018/02/24 11:54:38:369',3,-22.418194,-38.164314,-29.312859,?,?,?,?
108,'2018/02/24 11:54:38:408',3,-21.05768,-38.156384,-30.204765,?,?,?,?
109,'2018/02/24 11:54:38:444',3,-19.272219,-38.518555,-32.084114,?,?,?,?
110,'2018/02/24 11:54:38:470',3,-17.234356,-38.57687,-33.252403,?,?,?,?
111,'2018/02/24 11:54:38:502',3,-15.59244,-38.63229,-34.217331,?,?,?,?
112,'2018/02/24 11:54:38:548',3,-14.050739,-38.642124,-35.150284,?,?,?,?
113,'2018/02/24 11:54:38:592',3,-13.579576,-38.480442,-35.752571,?,?,?,?
114,'2018/02/24 11:54:38:669',3,-13.458071,-38.263798,-36.189316,?,?,?,?
115,'2018/02/24 11:54:38:701',3,-13.558828,-37.989845,-36.532661,?,?,?,?
116,'2018/02/24 11:54:38:731',3,-12.928501,-37.627232,-38.054031,?,?,?,?
117,'2018/02/24 11:54:38:753',3,-6.014883,-37.76099,-39.759125,?,?,?,?
118,'2018/02/24 11:54:38:778',3,-4.632051,-37.037907,-40.698059,?,?,?,?
119,'2018/02/24 11:54:38:803',3,-3.9789,-36.534195,-41.239067,?,?,?,?
120,'2018/02/24 11:54:38:834',3,-2.114019,-36.422752,-42.297661,?,?,?,?
121,'2018/02/24 11:54:38:869',3,-1.345922,-36.261127,-42.849701,?,?,?,?
122,'2018/02/24 11:54:38:898',3,-0.94281,-36.024551,-43.326073,?,?,?,?
123,'2018/02/24 11:54:38:932',3,-0.571105,-35.688995,-43.635956,?,?,?,?
124,'2018/02/24 11:54:38:964',3,-0.193577,-35.383968,-43.777931,?,?,?,?
125,'2018/02/24 11:54:39:000',3,1.554159,-35.743896,-43.868477,?,?,?,?
126,'2018/02/24 11:54:39:040',3,4.018854,-35.708839,-44.886345,?,?,?,?
127,'2018/02/24 11:54:39:069',3,5.593453,-35.501328,-45.278198,?,?,?,?
128,'2018/02/24 11:54:39:100',3,6.661235,-35.242992,-45.563057,?,?,?,?
129,'2018/02/24 11:54:39:135',3,8.432881,-35.055798,-45.515671,?,?,?,?
130,'2018/02/24 11:54:39:167',3,12.485764,-35.416306,-44.108597,?,?,?,?
131,'2018/02/24 11:54:39:198',3,14.599636,-35.555641,-43.858871,?,?,?,?
132,'2018/02/24 11:54:39:235',3,16.429625,-35.727749,-43.713554,?,?,?,?
133,'2018/02/24 11:54:39:270',3,17.858923,-35.740108,-43.894379,?,?,?,?
134,'2018/02/24 11:54:39:299',3,19.688824,-35.344311,-44.922951,?,?,?,?
135,'2018/02/24 11:54:39:334',3,23.784031,-35.589523,-43.460068,?,?,?,?
136,'2018/02/24 11:54:39:365',3,27.313761,-35.737953,-42.029396,?,?,?,?
137,'2018/02/24 11:54:39:398',3,29.476557,-35.79649,-41.106789,?,?,?,?
138,'2018/02/24 11:54:39:434',3,32.226181,-35.991661,-39.390488,?,?,?,?
139,'2018/02/24 11:54:39:483',3,34.715218,-36.24926,-37.626251,?,?,?,?
140,'2018/02/24 11:54:39:511',3,37.024548,-36.380493,-35.602676,?,?,?,?
141,'2018/02/24 11:54:39:539',3,38.662746,-36.368904,-34.336983,?,?,?,?
142,'2018/02/24 11:54:39:573',3,40.483738,-36.267235,-32.832008,?,?,?,?
143,'2018/02/24 11:54:39:597',3,42.185616,-35.964775,-31.823509,?,?,?,?
144,'2018/02/24 11:54:39:636',3,44.145126,-35.457661,-31.011948,?,?,?,?
145,'2018/02/24 11:54:39:673',3,46.467033,-34.889133,-29.604431,?,?,?,?
146,'2018/02/24 11:54:39:705',3,48.558853,-34.587231,-27.612007,?,?,?,?
147,'2018/02/24 11:54:39:735',3,51.17038,-34.019722,-26.613739,?,?,?,?
148,'2018/02/24 11:54:39:767',3,53.045254,-33.683746,-25.705704,?,?,?,?
149,'2018/02/24 11:54:39:801',3,54.90855,-33.431431,-24.210838,?,?,?,?
150,'2018/02/24 11:54:39:836',3,56.485043,-33.23494,-22.209427,?,?,?,?
151,'2018/02/24 11:54:39:871',3,56.039989,-33.879913,-16.786072,?,?,?,?
152,'2018/02/24 11:54:39:907',3,56.088936,-34.162029,-14.034775,?,?,?,?
153,'2018/02/24 11:54:39:934',3,56.575569,-34.281803,-11.973221,?,?,?,?
154,'2018/02/24 11:54:39:968',3,57.134544,-34.330891,-10.480011,?,?,?,?
155,'2018/02/24 11:54:40:001',3,57.680344,-34.356544,-8.856262,?,?,?,?
156,'2018/02/24 11:54:40:039',3,58.118484,-34.301655,-7.311783,?,?,?,?
157,'2018/02/24 11:54:40:072',3,58.56266,-34.119926,-5.796585,?,?,?,?
158,'2018/02/24 11:54:40:103',3,58.867176,-33.917957,-4.60437,?,?,?,?
159,'2018/02/24 11:54:40:137',3,59.089317,-33.655968,-3.476181,?,?,?,?
160,'2018/02/24 11:54:40:169',3,59.253086,-33.386948,-2.505066,?,?,?,?
161,'2018/02/24 11:54:40:205',3,59.357185,-33.198143,-1.787292,?,?,?,?
162,'2018/02/24 11:54:40:239',3,59.413383,-33.07888,-1.269913,?,?,?,?
163,'2018/02/24 11:54:40:269',3,59.465225,-33.004108,-0.902237,?,?,?,?
164,'2018/02/24 11:54:40:312',3,59.500435,-32.954334,-0.628769,?,?,?,?
165,'2018/02/24 11:54:40:340',3,59.505486,-32.915165,-0.451035,?,?,?,?
166,'2018/02/24 11:54:40:368',3,59.418602,-32.878365,-0.479568,?,?,?,?
167,'2018/02/24 11:54:40:408',3,59.030731,-32.79063,-1.187027,?,?,?,?
168,'2018/02/24 11:54:40:439',3,59.445763,-30.221016,-4.87825,?,?,?,?
169,'2018/02/24 11:54:40:469',3,59.400673,-28.749815,-7.134827,?,?,?,?
170,'2018/02/24 11:54:40:509',3,58.793201,-27.579239,-9.073868,?,?,?,?
171,'2018/02/24 11:54:40:535',3,56.967899,-26.716122,-11.033188,?,?,?,?
172,'2018/02/24 11:54:40:566',3,54.964592,-26.275284,-12.619217,?,?,?,?
173,'2018/02/24 11:54:40:607',3,52.238426,-26.227737,-14.354935,?,?,?,?
174,'2018/02/24 11:54:40:641',3,48.66843,-27.13905,-16.036774,?,?,?,?
175,'2018/02/24 11:54:40:676',3,46.475887,-27.495407,-17.422745,?,?,?,?
176,'2018/02/24 11:54:40:712',3,44.023808,-27.881397,-19.080185,?,?,?,?
177,'2018/02/24 11:54:40:735',3,41.717422,-27.356419,-21.722397,?,?,?,?
178,'2018/02/24 11:54:40:766',3,39.787971,-26.967587,-23.786972,?,?,?,?
179,'2018/02/24 11:54:40:807',3,36.290306,-27.491615,-25.839096,?,?,?,?
180,'2018/02/24 11:54:40:838',3,34.483223,-27.707256,-26.968155,?,?,?,?
181,'2018/02/24 11:54:40:867',3,31.153606,-27.998875,-28.253677,?,?,?,?
182,'2018/02/24 11:54:40:910',3,27.857765,-27.937105,-29.372574,?,?,?,?
183,'2018/02/24 11:54:40:944',3,24.88422,-27.986214,-30.396965,?,?,?,?
184,'2018/02/24 11:54:40:967',3,20.86006,-28.291348,-32.192749,?,?,?,?
185,'2018/02/24 11:54:41:005',3,15.774708,-26.295889,-35.156784,?,?,?,?
186,'2018/02/24 11:54:41:039',3,10.655897,-24.657106,-37.246452,?,?,?,?
